Date [UTC], Time [UTC], Illuminance [lux], Temperature [°C], Humidity [%], CO2 [ppm], TVOC [ppb], Latitude [°], Longitude [°], Satellites [-], Speed [m/s], Altitude [m], Roll [°], Pitch [°], Heading [°], Wind speed [m/s], Wind angle [°], Wind temp. [°C]
2023-03-30, 11:34:35.305, 241.70, 15.34, 50.83, 400, 1, 46.52091599, 6.56313705, 10, 0.10, 427.6, 0.2, -0.5, 3.8, 0.9, 269, 16
2023-03-30, 11:34:36.408, 240.34, 15.35, 50.80, 400, 8, 46.52092361, 6.56313705, 10, 0.17, 427.7, 0.2, -0.3, 4.6, 0.7, 285, 16
2023-03-30, 11:34:37.512, 240.34, 15.33, 50.80, 400, 4, 46.52091599, 6.56313705, 10, 0.34, 427.8, 0.4, -0.4, 4.6, 0.6, 295, 16
2023-03-30, 11:34:38.617, 241.21, 15.31, 50.80, 400, 0, 46.52091599, 6.56313992, 10, 0.14, 427.9, 0.4, -0.5, 4.5, 0.5, 291, 16
2023-03-30, 11:34:39.724, 241.21, 15.31, 50.80, 400, 2, 46.52092361, 6.56314182, 10, 0.09, 428.0, 0.3, -0.4, 4.6, 0.4, 298, 16
2023-03-30, 11:34:40.829, 239.85, 15.33, 50.79, 400, 0, 46.52092361, 6.56314278, 10, 0.12, 428.1, 0.3, -0.3, 4.7, 0.3, 310, 16
2023-03-30, 11:34:41.936, 239.85, 15.33, 50.84, 400, 4, 46.52092361, 6.56314278, 10, 0.11, 428.1, 0.2, -0.3, 4.6, 0.3, 279, 16
2023-03-30, 11:34:43.043, 238.49, 15.33, 50.76, 400, 0, 46.52092361, 6.56314182, 10, 0.14, 428.1, 0.2, -0.4, 4.9, 0.3, 259, 16
2023-03-30, 11:34:44.150, 240.72, 15.34, 50.76, 400, 5, 46.52093124, 6.56314182, 10, 0.25, 428.1, 0.0, -4.7, 4.6, 0.3, 256, 16
2023-03-30, 11:34:45.256, 239.36, 15.35, 50.78, 400, 2, 46.52093124, 6.56314278, 10, 0.25, 428.1, 0.0, -4.8, 4.5, 0.4, 259, 16
2023-03-30, 11:34:46.362, 239.36, 15.35, 50.74, 400, 0, 46.52093124, 6.56314468, 10, 0.19, 428.2, 0.2, -0.4, 3.9, 0.3, 269, 16
2023-03-30, 11:34:47.466, 238.00, 15.31, 50.72, 400, 0, 46.52093887, 6.56314802, 10, 0.21, 428.2, 0.2, -0.3, 4.0, 0.4, 254, 16
2023-03-30, 11:34:48.572, 236.64, 15.33, 50.72, 400, 0, 46.52093124, 6.56314993, 10, 0.11, 428.2, 0.2, -0.4, 4.3, 0.4, 269, 16
2023-03-30, 11:34:49.677, 238.87, 15.31, 50.70, 400, 7, 46.52093887, 6.56315231, 10, 0.08, 428.2, 0.3, -0.5, 4.4, 0.2, 284, 16
2023-03-30, 11:34:50.782, 237.51, 15.34, 50.70, 400, 0, 46.52093887, 6.56314802, 10, 0.11, 428.2, 0.4, -0.4, 4.5, 0.2, 305, 16
2023-03-30, 11:34:51.888, 237.51, 15.31, 50.72, 400, 3, 46.52093887, 6.56314802, 10, 0.04, 428.1, 0.2, -0.5, 3.7, 0.5, 0, 16
2023-03-30, 11:34:52.994, 236.15, 15.31, 50.70, 400, 4, 46.52093887, 6.56314802, 10, 0.02, 428.1, 0.3, -0.4, 4.6, 0.8, 21, 16
2023-03-30, 11:34:54.102, 236.15, 15.30, 50.68, 400, 13, 46.52093887, 6.56314707, 10, 0.03, 428.0, 0.2, -0.4, 4.4, 1.1, 19, 16
2023-03-30, 11:34:55.208, 237.02, 15.33, 50.66, 400, 0, 46.52093887, 6.56314707, 10, 0.04, 427.9, 0.2, -0.3, 4.3, 0.8, 41, 16
2023-03-30, 11:34:56.313, 235.66, 15.31, 50.64, 400, 3, 46.52093124, 6.56314468, 10, 0.09, 427.8, 0.3, -0.3, 4.0, 0.8, 103, 16
